mapping_id,year_stem,month_branch,month_index,month_stem,month_ganzhi,status,note
CT001,Giap,Dan,1,Binh,BinhDan,ACTIVE,Giáp niên
CT002,Giap,Mao,2,Dinh,DinhMao,ACTIVE,
CT003,Giap,Thin,3,Mau,MauThin,ACTIVE,
CT004,Giap,Ty,4,Ky,KyTy,ACTIVE,
CT005,Giap,Ngo,5,Canh,CanhNgo,ACTIVE,
CT006,Giap,Mui,6,Tan,TanMui,ACTIVE,
CT007,Giap,Than,7,Nham,NhamThan,ACTIVE,
CT008,Giap,Dau,8,Quy,QuyDau,ACTIVE,
CT009,Giap,Tuat,9,Giap,GiapTuat,ACTIVE,
CT010,Giap,Hoi,10,At,AtHoi,ACTIVE,
CT011,Giap,Ty,11,Binh,BinhTy,ACTIVE,
CT012,Giap,Suu,12,Dinh,DinhSuu,ACTIVE,

CT013,Ky,Dan,1,Binh,BinhDan,ACTIVE,Kỷ niên
CT014,Ky,Mao,2,Dinh,DinhMao,ACTIVE,
CT015,Ky,Thin,3,Mau,MauThin,ACTIVE,
CT016,Ky,Ty,4,Ky,KyTy,ACTIVE,
CT017,Ky,Ngo,5,Canh,CanhNgo,ACTIVE,
CT018,Ky,Mui,6,Tan,TanMui,ACTIVE,
CT019,Ky,Than,7,Nham,NhamThan,ACTIVE,
CT020,Ky,Dau,8,Quy,QuyDau,ACTIVE,
CT021,Ky,Tuat,9,Giap,GiapTuat,ACTIVE,
CT022,Ky,Hoi,10,At,AtHoi,ACTIVE,
CT023,Ky,Ty,11,Binh,BinhTy,ACTIVE,
CT024,Ky,Suu,12,Dinh,DinhSuu,ACTIVE,
mapping_id,year_stem,month_branch,month_index,month_stem,month_ganzhi,status,note
CT001,Giap,Dan,1,Binh,BinhDan,ACTIVE,Giáp niên
CT002,Giap,Mao,2,Dinh,DinhMao,ACTIVE,
CT003,Giap,Thin,3,Mau,MauThin,ACTIVE,
CT004,Giap,Ty,4,Ky,KyTy,ACTIVE,
CT005,Giap,Ngo,5,Canh,CanhNgo,ACTIVE,
CT006,Giap,Mui,6,Tan,TanMui,ACTIVE,
CT007,Giap,Than,7,Nham,NhamThan,ACTIVE,
CT008,Giap,Dau,8,Quy,QuyDau,ACTIVE,
CT009,Giap,Tuat,9,Giap,GiapTuat,ACTIVE,
CT010,Giap,Hoi,10,At,AtHoi,ACTIVE,
CT011,Giap,Ty,11,Binh,BinhTy,ACTIVE,
CT012,Giap,Suu,12,Dinh,DinhSuu,ACTIVE,

CT013,Ky,Dan,1,Binh,BinhDan,ACTIVE,Kỷ niên
CT014,Ky,Mao,2,Dinh,DinhMao,ACTIVE,
CT015,Ky,Thin,3,Mau,MauThin,ACTIVE,
CT016,Ky,Ty,4,Ky,KyTy,ACTIVE,
CT017,Ky,Ngo,5,Canh,CanhNgo,ACTIVE,
CT018,Ky,Mui,6,Tan,TanMui,ACTIVE,
CT019,Ky,Than,7,Nham,NhamThan,ACTIVE,
CT020,Ky,Dau,8,Quy,QuyDau,ACTIVE,
CT021,Ky,Tuat,9,Giap,GiapTuat,ACTIVE,
CT022,Ky,Hoi,10,At,AtHoi,ACTIVE,
CT023,Ky,Ty,11,Binh,BinhTy,ACTIVE,
CT024,Ky,Suu,12,Dinh,DinhSuu,ACTIVE,
CT025,At,Dan,1,Mau,MauDan,ACTIVE,
CT026,At,Mao,2,Ky,KyMao,ACTIVE,
CT027,At,Thin,3,Canh,CanhThin,ACTIVE,
CT028,At,Ty,4,Tan,TanTy,ACTIVE,
CT029,At,Ngo,5,Nham,NhamNgo,ACTIVE,
CT030,At,Mui,6,Quy,QuyMui,ACTIVE,
CT031,At,Than,7,Giap,GiapThan,ACTIVE,
CT032,At,Dau,8,At,AtDau,ACTIVE,
CT033,At,Tuat,9,Binh,BinhTuat,ACTIVE,
CT034,At,Hoi,10,Dinh,DinhHoi,ACTIVE,
CT035,At,Ty,11,Mau,MauTy,ACTIVE,
CT036,At,Suu,12,Ky,KySuu,ACTIVE,

CT037,Canh,Dan,1,Mau,MauDan,ACTIVE,
CT038,Canh,Mao,2,Ky,KyMao,ACTIVE,
CT039,Canh,Thin,3,Canh,CanhThin,ACTIVE,
CT040,Canh,Ty,4,Tan,TanTy,ACTIVE,
CT041,Canh,Ngo,5,Nham,NhamNgo,ACTIVE,
CT042,Canh,Mui,6,Quy,QuyMui,ACTIVE,
CT043,Canh,Than,7,Giap,GiapThan,ACTIVE,
CT044,Canh,Dau,8,At,AtDau,ACTIVE,
CT045,Canh,Tuat,9,Binh,BinhTuat,ACTIVE,
CT046,Canh,Hoi,10,Dinh,DinhHoi,ACTIVE,
CT047,Canh,Ty,11,Mau,MauTy,ACTIVE,
CT048,Canh,Suu,12,Ky,KySuu,ACTIVE,
