rule_id,rule_code,rule_group,ten_rule,muc_tieu,dieu_kien_1,dieu_kien_2,dieu_kien_3,dieu_kien_4,dieu_kien_5,ket_qua,diem,muc_do,do_tin_cay,uu_tien,giai_thich,trang_thai
1,PT001,HAO_TAI,Kiếp Tài vượng,Hao tài,Kiếp_Tài=Vượng,,,,,Hao_Tài=Rất_Cao,-25,Rất_Cao,98,1,Kiếp Tài đoạt tài sản,active
2,PT002,HAO_TAI,Tỷ Kiên vượng,Cạnh tranh tài,Tỷ_Kiên=Vượng,,,,,Hao_Tài=Cao,-18,Cao,93,2,Dễ bị chia lợi nhuận,active
3,PT003,HAO_TAI,Đại Hao nhập mệnh,Hao tài lớn,Đại_Hao=true,,,,,Hao_Tài=Rất_Cao,-28,Rất_Cao,98,3,Dễ phát sinh khoản chi lớn,active
4,PT004,HAO_TAI,Tiểu Hao nhập mệnh,Hao tài nhỏ,Tiểu_Hao=true,,,,,Hao_Tài=Trung_Bình,-10,Trung_Bình,88,4,Nhiều khoản chi nhỏ,active
5,PT005,HAO_TAI,Phá Toái,Tổn thất tài sản,Phá_Toái=true,,,,,Hao_Tài=Cao,-16,Cao,90,5,Dễ mất mát tài sản,active
6,PT006,HAO_TAI,Tài bị Không Vong,Tiền khó tụ,Tài=Không_Vong,,,,,Hao_Tài=Cao,-18,Cao,92,6,Thu nhập khó giữ,active
7,PT007,HAO_TAI,Tài bị xung,Hao tài,Tài=Bị_Xung,,,,,Hao_Tài=Cao,-18,Cao,91,7,Biến động tài sản,active
8,PT008,HAO_TAI,Tài bị hình,Tranh chấp,Tài=Bị_Hình,,,,,Hao_Tài=Khá,-12,Khá,87,8,Dễ phát sinh kiện tụng,active
9,PT009,HAO_TAI,Tài bị hại,Tổn thất ngầm,Tài=Bị_Hại,,,,,Hao_Tài=Khá,-12,Khá,87,9,Mất tiền khó phát hiện,active
10,PT010,HAO_TAI,Tài bị phá,Tài sản suy giảm,Tài=Bị_Phá,,,,,Hao_Tài=Cao,-18,Cao,91,10,Tài sản giảm mạnh,active
11,PT011,HAO_TAI,Thân nhược gặp Tài vượng,Gánh tài quá sức,Thân=Nhược,Tài=Vượng,,,,Hao_Tài=Cao,-20,Cao,94,11,Khó quản lý tài sản,active
12,PT012,HAO_TAI,Tài gặp Kỵ thần,Tài chính bất lợi,Tài=Kỵ_Thần,,,,,Hao_Tài=Cao,-18,Cao,92,12,Dễ mất tiền do quyết định sai,active
13,PT013,HAO_TAI,Thiên Tài quá vượng,Đầu tư quá mức,Thiên_Tài=Quá_Vượng,,,,,Hao_Tài=Khá,-15,Khá,89,13,Dễ đầu tư mạo hiểm,active
14,PT014,HAO_TAI,Thương Quan quá mạnh,Chi tiêu lớn,Thương_Quan=Quá_Vượng,,,,,Hao_Tài=Khá,-14,Khá,88,14,Tiêu dùng và đầu tư thiếu kiểm soát,active
15,PT015,HAO_TAI,Thực Thần suy,Tài giảm,Thực_Thần=Nhược,,,,,Hao_Tài=Trung_Bình,-10,Trung_Bình,86,15,Khả năng tạo thu nhập suy giảm,active
16,PT016,HAO_TAI,Quan tinh suy,Tài không ổn định,Quan=Nhược,,,,,Hao_Tài=Khá,-12,Khá,87,16,Sự nghiệp ảnh hưởng tài chính,active
17,PT017,HAO_TAI,Ấn tinh suy,Nền tảng yếu,Ấn=Nhược,,,,,Hao_Tài=Khá,-12,Khá,87,17,Thiếu nền tảng giữ tài sản,active
18,PT018,HAO_TAI,Tài tinh vô căn,Tài khó giữ,Tài=Vô_Căn,,,,,Hao_Tài=Cao,-18,Cao,91,18,Thu nhập thiếu bền vững,active
19,PT019,HAO_TAI,Tài khố bị phá,Mất tích lũy,Tài_Khố=Bị_Phá,,,,,Hao_Tài=Rất_Cao,-24,Rất_Cao,96,19,Tài sản tích lũy bị suy giảm,active
20,PT020,HAO_TAI,Nhiều yếu tố hao tài,Hao tài tổng hợp,Kiếp_Tài=Vượng,Đại_Hao=true,Tài=Bị_Xung,,,Hao_Tài=Tối_Đa,-35,Rất_Cao,99,20,Hội tụ nhiều yếu tố bất lợi,active
