rule_id,nhom_rule,ten_rule,do_uu_tien,dieu_kien_1,toan_tu_1,dieu_kien_2,toan_tu_2,dieu_kien_3,toan_tu_3,dieu_kien_4,ket_qua,muc_do,diem_cong,diem_tru,mo_hinh_kinh_doanh,quy_mo,vai_tro_phu_hop,khuyen_nghi,rui_ro,chu_ky_kinh_te,ngu_hanh_uu_tien,thap_than_chu_dao,ghi_chu,trang_thai
KD001,Nang_Luc,Thiên Tài vượng,Rat_Cao,thap_than=Thien_Tai,AND,cuong_do>=80,AND,than_vuong=True,AND,,Rat_Hop_Kinh_Doanh,Rat_Cao,20,0,Thuong_Mai,Doanh_Nghiep_Vua,Chu_Doanh_Nghiep,Nên tự kinh doanh,Thap,CK005,Hoa,Thien_Tai,Khả năng kiếm tiền rất mạnh,active
KD002,Nang_Luc,Thiên Tài khá,Cao,thap_than=Thien_Tai,AND,cuong_do>=60,AND,than_vuong=True,AND,,Hop_Kinh_Doanh,Cao,15,0,Thuong_Mai,Doanh_Nghiep_Nho,Chu_Doanh_Nghiep,Nên bắt đầu quy mô nhỏ,Thap,CK005,Hoa,Thien_Tai,Có tố chất doanh nhân,active
KD003,Nang_Luc,Chính Tài vượng,Cao,thap_than=Chinh_Tai,AND,cuong_do>=80,AND,,AND,,Hop_Kinh_Doanh_On_Dinh,Cao,12,0,Dich_Vu,Ho_Kinh_Doanh,Chu_Doanh_Nghiep,Ưu tiên mô hình ổn định,Thap,CK005,Tho,Chinh_Tai,Giỏi quản lý dòng tiền,active
KD004,Nang_Luc,Thực Thần sinh Tài,Cao,thuc_than>=70,AND,sinh_tai=True,AND,,AND,,Rat_Hop_Kinh_Doanh,Cao,18,0,San_Xuat,Doanh_Nghiep_Vua,Chu_Doanh_Nghiep,Tạo giá trị trước tạo lợi nhuận,Thap,CK005,Moc,Thuc_Than,Mạnh về sản xuất,active
KD005,Nang_Luc,Thương Quan sinh Tài,Cao,thuong_quan>=70,AND,sinh_tai=True,AND,,AND,,Hop_Khoi_Nghiep,Cao,17,0,Cong_Nghe,Startup,Sang_Lap,Phù hợp khởi nghiệp sáng tạo,Trung_Binh,CK006,Hoa,Thuong_Quan,Sáng tạo cao,active
KD006,Nang_Luc,Thân vượng gặp Thiên Tài,Rat_Cao,than_vuong=True,AND,thap_than=Thien_Tai,AND,,AND,,Rat_Hop_Kinh_Doanh,Rat_Cao,18,0,Thuong_Mai,Doanh_Nghiep_Vua,Chu_Doanh_Nghiep,Dễ phát triển doanh nghiệp,Thap,CK005,Hoa,Thien_Tai,Có khả năng mở rộng,active
KD007,Nang_Luc,Thân nhược gặp Thiên Tài,Cao,than_vuong=False,AND,thap_than=Thien_Tai,AND,,AND,,Can_Hop_Tac,Trung_Binh,5,8,Dau_Tu,Ca_Nhan,Gop_Von,Nên hợp tác thay vì tự làm,Cao,CK004,Kim,Thien_Tai,Dễ quá tải,active
KD008,Nang_Luc,Tỷ Kiên quá mạnh,Cao,thap_than=Ty_Kien,AND,cuong_do>=80,AND,,AND,,Can_Than_Trong,Trung_Binh,0,10,Dich_Vu,Ca_Nhan,Dong_Sang_Lap,Tránh tranh chấp cổ đông,Cao,CK004,Tho,Ty_Kien,Cạnh tranh nội bộ,active
KD009,Nang_Luc,Kiếp Tài quá mạnh,Rat_Cao,thap_than=Kiep_Tai,AND,cuong_do>=80,AND,,AND,,Khong_Nen_Khoi_Nghiep,Thap,0,20,Bat_Ky,Ca_Nhan,Lam_Cong,Hạn chế đầu tư lớn,Rat_Cao,CK004,Kim,Kiep_Tai,Rủi ro mất vốn,active
KD010,Nang_Luc,Chính Ấn vượng,Cao,thap_than=Chinh_An,AND,cuong_do>=80,AND,,AND,,Hop_Quan_Ly,Cao,10,0,Giao_Duc,Doanh_Nghiep_Nho,Quan_Ly,Phù hợp điều hành,Thap,CK005,Moc,Chinh_An,Tư duy hệ thống tốt,active
KD011,Nang_Luc,Thiên Ấn vượng,Cao,thap_than=Thien_An,AND,cuong_do>=80,AND,,AND,,Hop_Chuyen_Gia,Cao,10,0,Tu_Van,Ca_Nhan,Chuyen_Gia,Nên bán tri thức,Thap,CK005,Moc,Thien_An,Khả năng nghiên cứu mạnh,active
KD012,Nang_Luc,Chính Quan mạnh,Cao,thap_than=Chinh_Quan,AND,cuong_do>=75,AND,,AND,,Hop_Dieu_Hanh,Cao,12,0,Dich_Vu,Doanh_Nghiep_Vua,CEO,Giỏi quản trị doanh nghiệp,Thap,CK005,Kim,Chinh_Quan,Lãnh đạo tốt,active
KD013,Nang_Luc,Thất Sát mạnh,Cao,thap_than=That_Sat,AND,cuong_do>=75,AND,,AND,,Hop_Mo_Rong,Cao,12,0,San_Xuat,Doanh_Nghiep_Lon,CEO,Dám quyết định,Trung_Binh,CK006,Kim,That_Sat,Quyết đoán,active
KD014,Nang_Luc,Tài Quan tương sinh,Cao,tai_sinh_quan=True,AND,,AND,,AND,,Hop_Phat_Trien,Cao,15,0,Da_Nganh,Doanh_Nghiep_Vua,CEO,Phát triển bền vững,Thap,CK005,Tho,Chinh_Quan,Có nền tảng vững,active
KD015,Nang_Luc,Quan Ấn tương sinh,Cao,quan_sinh_an=True,AND,,AND,,AND,,Hop_Dieu_Hanh,Cao,12,0,Dich_Vu,Doanh_Nghiep_Vua,Quan_Ly,Quản trị tốt,Thap,CK005,Kim,Chinh_An,Hệ thống ổn định,active
KD016,Nang_Luc,Thực Thần phối Chính Tài,Cao,thuc_than>=60,AND,chinh_tai>=60,AND,,AND,,Hop_San_Xuat,Cao,14,0,San_Xuat,Doanh_Nghiep_Nho,Chu_Doanh_Nghiep,Nên phát triển sản phẩm,Thap,CK005,Moc,Thuc_Than,Tạo dòng tiền đều,active
KD017,Nang_Luc,Tài tinh bị khắc,Cao,tai_tinh_bi_khac=True,AND,,AND,,AND,,Khong_Nen_Mo_Rong,Thap,0,15,Bat_Ky,Ca_Nhan,Lam_Cong,Nên giữ vốn,Trung_Binh,CK004,Kim,Chinh_Tai,Dễ hao tài,active
KD018,Nang_Luc,Dụng thần là Tài,Rat_Cao,dung_than=Tài,AND,,AND,,AND,,Rat_Hop_Kinh_Doanh,Rat_Cao,20,0,Thuong_Mai,Doanh_Nghiep_Vua,Chu_Doanh_Nghiep,Nên lấy kinh doanh làm trọng tâm,Thap,CK006,Hoa,Thien_Tai,Dụng thần hỗ trợ tài lộc,active
KD019,Nang_Luc,Hỷ thần trợ Tài,Cao,hy_than_tro_tai=True,AND,,AND,,AND,,Hop_Dau_Tu,Cao,12,0,Dau_Tu,Ca_Nhan,Nha_Dau_Tu,Có quý nhân trợ lực,Thap,CK006,Moc,Chinh_Tai,Thuận lợi tích lũy,active
KD020,Nang_Luc,Tài Thực Quan đầy đủ,Rat_Cao,thien_tai>=70,AND,thuc_than>=70,AND,chinh_quan>=60,AND,than_vuong=True,La_So_Doanh_Nhan,Rat_Cao,25,0,Da_Nganh,Tap_Doan,CEO,Rất phù hợp xây dựng doanh nghiệp lớn,Thap,CK006,Hoa,Thien_Tai,Rule doanh nhân cấp cao,active
KD021,Mo_Hinh,Phù hợp thương mại phân phối,Cao,thap_than=Thien_Tai,AND,than_vuong=True,AND,,AND,,Thuong_Mai,Cao,12,0,Thuong_Mai,Doanh_Nghiep_Nho,Chu_Doanh_Nghiep,Ưu tiên kinh doanh thương mại,Thap,CK005,Kim,Thien_Tai,Phù hợp bán buôn bán lẻ,active
KD022,Mo_Hinh,Phù hợp bán lẻ,Cao,chinh_tai>=70,AND,,AND,,AND,,Ban_Le,Cao,10,0,Thuong_Mai,Ho_Kinh_Doanh,Chu_Doanh_Nghiep,Phát triển cửa hàng bán lẻ,Thap,CK005,Tho,Chinh_Tai,Dòng tiền đều,active
KD023,Mo_Hinh,Phù hợp bán sỉ,Cao,thien_tai>=70,AND,chinh_tai>=60,AND,,AND,,Ban_Si,Cao,12,0,Thuong_Mai,Doanh_Nghiep_Nho,Chu_Doanh_Nghiep,Tập trung hệ thống đại lý,Trung_Binh,CK005,Kim,Thien_Tai,Quy mô phân phối lớn,active
KD024,Mo_Hinh,Phù hợp sản xuất,Rat_Cao,thuc_than>=75,AND,sinh_tai=True,AND,,AND,,San_Xuat,Rat_Cao,18,0,San_Xuat,Doanh_Nghiep_Vua,Chu_Doanh_Nghiep,Nên đầu tư nhà xưởng,Trung_Binh,CK005,Moc,Thuc_Than,Tạo giá trị bền vững,active
KD025,Mo_Hinh,Phù hợp gia công,Cao,thuc_than>=60,AND,chinh_tai>=60,AND,,AND,,Gia_Cong,Cao,10,0,San_Xuat,Doanh_Nghiep_Nho,Quan_Ly,Ưu tiên nhận gia công,Thap,CK005,Kim,Thuc_Than,Ít rủi ro vốn,active
